date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
387,22-01-2022,22,1,January,1,2022,3,Saturday,TRUE
388,23-01-2022,23,1,January,1,2022,3,Sunday,TRUE
389,24-01-2022,24,1,January,1,2022,4,Monday,FALSE
390,25-01-2022,25,1,January,1,2022,4,Tuesday,FALSE
391,26-01-2022,26,1,January,1,2022,4,Wednesday,FALSE
392,27-01-2022,27,1,January,1,2022,4,Thursday,FALSE
393,28-01-2022,28,1,January,1,2022,4,Friday,FALSE
394,29-01-2022,29,1,January,1,2022,4,Saturday,TRUE
395,30-01-2022,30,1,January,1,2022,4,Sunday,TRUE
396,31-01-2022,31,1,January,1,2022,5,Monday,FALSE
397,01-02-2022,1,2,February,1,2022,5,Tuesday,FALSE
398,02-02-2022,2,2,February,1,2022,5,Wednesday,FALSE
399,03-02-2022,3,2,February,1,2022,5,Thursday,FALSE
400,04-02-2022,4,2,February,1,2022,5,Friday,FALSE
401,05-02-2022,5,2,February,1,2022,5,Saturday,TRUE
402,06-02-2022,6,2,February,1,2022,5,Sunday,TRUE
403,07-02-2022,7,2,February,1,2022,6,Monday,FALSE
404,08-02-2022,8,2,February,1,2022,6,Tuesday,FALSE
405,09-02-2022,9,2,February,1,2022,6,Wednesday,FALSE
406,10-02-2022,10,2,February,1,2022,6,Thursday,FALSE
407,11-02-2022,11,2,February,1,2022,6,Friday,FALSE
408,12-02-2022,12,2,February,1,2022,6,Saturday,TRUE
409,13-02-2022,13,2,February,1,2022,6,Sunday,TRUE
410,14-02-2022,14,2,February,1,2022,7,Monday,FALSE
411,15-02-2022,15,2,February,1,2022,7,Tuesday,FALSE
412,16-02-2022,16,2,February,1,2022,7,Wednesday,FALSE
413,17-02-2022,17,2,February,1,2022,7,Thursday,FALSE
414,18-02-2022,18,2,February,1,2022,7,Friday,FALSE
415,19-02-2022,19,2,February,1,2022,7,Saturday,TRUE
416,20-02-2022,20,2,February,1,2022,7,Sunday,TRUE
417,21-02-2022,21,2,February,1,2022,8,Monday,FALSE
418,22-02-2022,22,2,February,1,2022,8,Tuesday,FALSE
419,23-02-2022,23,2,February,1,2022,8,Wednesday,FALSE
420,24-02-2022,24,2,February,1,2022,8,Thursday,FALSE
421,25-02-2022,25,2,February,1,2022,8,Friday,FALSE
422,26-02-2022,26,2,February,1,2022,8,Saturday,TRUE
423,27-02-2022,27,2,February,1,2022,8,Sunday,TRUE
424,28-02-2022,28,2,February,1,2022,9,Monday,FALSE
425,01-03-2022,1,3,March,1,2022,9,Tuesday,FALSE
426,02-03-2022,2,3,March,1,2022,9,Wednesday,FALSE
427,03-03-2022,3,3,March,1,2022,9,Thursday,FALSE
428,04-03-2022,4,3,March,1,2022,9,Friday,FALSE
